AgencyName,NetBalance,Year
Think Big,7714,2/28/2022 0:00
Time & Space Media (Pvt.) Ltd.,50793631.3,12/31/2023 0:00
Titan Watches,0.214,6/30/2017 0:00
TNI Communications,2581692.533,6/21/2023 12:32
Transworld Advertising (Pvt) Ltd,-0.8224,2/2/2015 0:00
Transworld Advertising Lahore,-1265,1/23/2009 0:00
Trends Maker,0,6/30/2018 0:00
TV Brand,0.0816,3/20/2013 12:07
TV2 Productions,-0.9998,9/22/2015 17:25
TWI Technology Engineering Pvt Ltd.,-48000,8/4/2014 0:00
Unity Advertising & Media,907.0018,4/7/2020 0:00
Universal Nexus For Interfaith Trust Engagement,0.332,6/30/2019 0:00
Up-Tick Ventures (Pvt) Ltd,19125651.58,10/16/2023 0:00
Usman Traders  Sonar Tyre,-19837.086,8/29/2011 0:00
VAMS,-0.1432,8/24/2009 10:06
Vantage Media,2059,12/22/2023 15:07
Velocity Marketing & Communication,8328049.301,12/26/2023 15:32
Vibrant Communications,268559.3332,7/31/2021 0:00
Vision Unlimited,0.1986,1/20/2009 0:00
W S Research Centre,-12750,1/31/2012 0:00
Wahedna Darcy (Pvt.) Ltd.,2.6403,6/30/2020 0:00
Wings Media (Pvt.) Ltd.,9310143.108,12/31/2023 0:00
World Call,-0.3353,6/13/2017 13:48
X Nine Communication (Pvt) Ltd,1.0253,6/30/2018 0:00
X2O Pvt. Ltd.,77936937.48,9/20/2023 0:00
Xander Communication Pvt Ltd.,2265590.705,9/18/2023 0:00
Xposure Advertising Marketing (Pvt.) Limited,3181499.929,8/31/2023 0:00
Z2C Pakistan (Pvt) Ltd,46799977.12,12/31/2023 0:00
Zara International,-8.222,7/2/2014 0:00
Zenith Advertising Communication (Pvt.) Ltd.,-1364017.09,11/16/2022 0:00
