AgencyName,NetBalance,Year
Oktopus 360 Media (Pvt) Ltd. (Formarlly Kimco Advertising),152754112.8908,10/31/2022 12:00:00 AM
Oktopus 360 Media (Pvt) Ltd. (Formarlly Kimco Advertising),152754112.8908,10/31/2022 12:00:00 AM
Orange Communications,0.0000,6/30/2018 12:00:00 AM
Orient Advertising (Pvt.) Ltd.,-29445.8886,7/11/2018 2:40:06 PM
Orient Advertising (Pvt.) Ltd.,-29445.8886,7/11/2018 2:40:06 PM
Orient Advertising (Pvt.) Ltd.,-29445.8886,7/11/2018 2:40:06 PM
Orient Communication (Pvt) Ltd,-4607730.8228,9/6/2022 12:00:00 AM
Orient Communication (Pvt) Ltd,-4607730.8228,9/6/2022 12:00:00 AM
Orient Communication (Pvt) Ltd,-4607730.8228,9/6/2022 12:00:00 AM
Pak Media Com (Pvt.) Ltd.,-313.1869,9/13/2022 2:42:09 PM
Pak Media Communications (Pvt.) Ltd.,150393933.4350,10/31/2022 12:00:00 AM
Pak Media Communications (Pvt.) Ltd.,150393933.4350,10/31/2022 12:00:00 AM
Pak Media Communications (Pvt.) Ltd.,150393933.4350,10/31/2022 12:00:00 AM
Pakistan Tehreek Insaf (PTI),13100.0011,9/30/2022 12:00:00 AM
Paragon International (Pvt.) Ltd,574325.4317,9/30/2022 12:00:00 AM
Partnership 3,-67821.4092,6/30/2020 12:00:00 AM
PBA LPS & Other Surcharges,-2482667.0000,9/6/2021 12:00:00 AM
Perspective Media,1449687.7452,9/23/2022 12:00:00 AM
Perspective Media,1449687.7452,9/23/2022 12:00:00 AM
Pirana Advertising (Pvt) Ltd,1860967.9264,7/30/2021 12:00:00 AM
Pirana Advertising (Pvt) Ltd,1860967.9264,7/30/2021 12:00:00 AM
Pirana Advertising (Pvt) Ltd,1860967.9264,7/30/2021 12:00:00 AM
Play One,-166890.0000,11/18/2021 12:00:00 AM
Prestige Communications (Pvt.) Ltd.,-2.3989,7/22/2022 12:00:00 AM
Prime Aluminium Industries (Pvt) Ltd,0.0290,6/12/2009 12:27:27 PM
Prime Time,1.7500,12/31/2016 12:00:00 AM
Print AD Communication,-54.2104,9/20/2022 7:28:39 PM
Printer Port,-293740.2868,6/20/2014 12:00:00 AM
Promoters Advertising,6822369.8815,10/20/2022 11:07:58 AM
Promoters Advertising,6822369.8815,10/20/2022 11:07:58 AM
Qasim & Ahmed Pvt Ltd,-830762.7498,3/6/2020 12:00:00 AM
RAHNUMA, Family Planning Association of Pakistan,144000.1056,6/14/2022 12:00:00 AM
Rasul Floor Mills (Pvt) Ltd,0.3000,8/30/2010 12:00:00 AM
Real Time,0.0000,1/23/2015 12:00:13 PM
RED Communications,-290.9614,6/30/2020 12:00:00 AM
RED Communications,-290.9614,6/30/2020 12:00:00 AM
Red Cross Iran,0.2773,10/30/2010 12:00:00 AM
Red Ocean Media,39875.0000,9/9/2020 12:00:00 AM
Rehman Foundation,0.0000,8/30/2011 12:00:00 AM
Repcom Advertising,-0.5748,4/28/2011 12:00:00 AM
Revolution Media Pvt Ltd.,17129441.9340,10/31/2022 12:00:00 AM
RG Blue Communication,4876476.8689,8/31/2022 12:00:00 AM
RG Blue Communication,4876476.8689,8/31/2022 12:00:00 AM
RG Blue Communication,4876476.8689,8/31/2022 12:00:00 AM
Roche Pakistan Limited,0.0000,6/21/2012 12:00:00 AM
Roshni Communication,-23694.5551,3/4/2022 12:00:00 AM
Ruby Advertising Services,-12455.0115,7/13/2011 4:42:48 PM
S.V.Advertising,-0.5577,5/27/2013 12:00:00 AM
SACOM Pvt Ltd.,2327337.5386,8/3/2022 12:00:00 AM
Sajid Enterprises,0.7200,4/17/2013 12:00:00 AM
San Media,-1217.2420,1/31/2015 12:00:00 AM
San Media Communication,-920.0000,1/14/2012 12:00:00 AM
Sarhad University of Science & Information Technology Peshwar,-0.0045,8/21/2015 11:42:11 AM
School of Leadership Foundation,200000.0080,3/14/2022 4:52:18 PM
Shahid Afridi Foundation,0.0000,9/7/2022 3:55:13 PM
Shahoo Je Herbal Pharma,0.5000,6/30/2018 12:00:00 AM
Shazia Abbasi Consulting,-10.7292,6/30/2018 12:00:00 AM
Shoot n Cutt Production,0.0000,2/28/2014 12:00:00 AM
Sindh Institute of Urology and Transplantation,0.0000,6/19/2014 12:00:00 AM
Siza Food Pvt Ltd,0.1984,6/30/2017 12:00:00 AM
Smart Ways Communication Pvt. Ltd.,3808174.0003,10/13/2022 12:00:00 AM
Sound & Vision Private Limited,-2916067.5017,10/21/2022 1:21:27 PM
Spectrum Communications (Pvt.) Ltd.,-4.6797,5/25/2021 12:00:00 AM
Spectrum Communications (Pvt.) Ltd.,-4.6797,5/25/2021 12:00:00 AM
Spider 360 Media (Pvt.) Ltd.,15126984.7139,3/31/2020 12:00:00 AM
Spider 360 Media (Pvt.) Ltd.,15126984.7139,3/31/2020 12:00:00 AM
Star Com,-0.4348,12/31/2010 12:00:00 AM
Star Crest (Pvt.) Ltd.,55695333.9376,10/31/2022 12:00:00 AM
Star Crest (Pvt.) Ltd.,55695333.9376,10/31/2022 12:00:00 AM
Super Media Communication Pvt. Ltd.,-0.1921,5/23/2016 12:00:00 AM
Synchronize (Pvt.) Ltd.,-2448346.8317,9/20/2013 10:10:23 AM
Synchronize (Pvt.) Ltd.,-2448346.8317,9/20/2013 10:10:23 AM
Synchronize Media (Pvt.) Ltd.,-1151145.7022,8/31/2020 1:23:32 PM
Synergy Advertising,65040452.7683,10/31/2022 12:00:00 AM
Synergy Advertising,65040452.7683,10/31/2022 12:00:00 AM
Synergy Advertising,65040452.7683,10/31/2022 12:00:00 AM
T Media,-62335.4295,11/11/2020 12:00:00 AM
Taj TV Ltd.,0.0000,6/30/2018 12:00:00 AM
Tapal Tea (Pvt) Ltd,0.6696,3/14/2013 12:00:00 AM
Tetley Clover Pvt Limited,0.6529,6/30/2017 12:00:00 AM
The Brand Ache Communication,80018.7332,1/5/2021 12:00:00 AM
The Brand Partnership (Pvt.) Ltd.,146120.2282,10/28/2021 12:00:00 AM
The Brand Partnership (Pvt.) Ltd.,146120.2282,10/28/2021 12:00:00 AM
The Center Shopping Mall,-0.3008,11/20/2012 2:23:00 PM
The Circle Agency Pvt Ltd.,5204967.8303,8/10/2020 12:00:00 AM
The Circuit (Pvt.) Ltd.,1.9980,7/2/2018 5:11:55 PM
The Commercial Advertising,-58271.5671,6/13/2017 1:44:28 PM
The Kidney Centre,0.3329,6/30/2017 12:00:00 AM
The Marketing Karachi,-100000.0001,6/30/2020 12:00:00 AM
The Trust Teleshop,-0.5640,3/30/2013 3:24:42 PM
Think Big,7714.0000,2/28/2022 12:00:00 AM
Time & Space Media (Pvt.) Ltd.,73945890.6232,10/31/2022 1:41:53 PM
Time & Space Media (Pvt.) Ltd.,73945890.6232,10/31/2022 1:41:53 PM
Time & Space Media (Pvt.) Ltd.,73945890.6232,10/31/2022 1:41:53 PM
Titan Watches,0.2140,6/30/2017 12:00:00 AM
TNI Communications,-3245.0031,10/20/2022 1:46:36 PM
TNI Communications,-3245.0031,10/20/2022 1:46:36 PM
TNI Communications,-3245.0031,10/20/2022 1:46:36 PM
Transworld Advertising (Pvt) Ltd,-0.8224,2/2/2015 12:00:00 AM
Transworld Advertising Lahore,-1265.0000,1/23/2009 12:00:00 AM
Trends Maker,0.0000,6/30/2018 12:00:00 AM
TV Brand,0.0816,3/20/2013 12:07:33 PM
TV2 Productions,-0.9998,9/22/2015 5:25:56 PM
TWI Technology Engineering Pvt Ltd.,-48000.0000,8/4/2014 12:00:00 AM
Unity Advertising & Media,907.0018,4/7/2020 12:00:00 AM
Universal Nexus For Interfaith Trust Engagement,0.3320,6/30/2019 12:00:00 AM
Up-Tick Ventures (Pvt) Ltd,24076402.5767,10/31/2022 12:00:00 AM
Usman Traders  Sonar Tyre,-19837.0860,8/29/2011 12:00:00 AM
VAMS,-0.1432,8/24/2009 10:06:59 AM
Velocity Marketing & Communication,4029716.7073,10/31/2022 12:00:00 AM
Velocity Marketing & Communication,4029716.7073,10/31/2022 12:00:00 AM
Vibrant Communications,268559.3332,7/31/2021 12:00:00 AM
Vision Unlimited,0.1986,1/20/2009 12:00:00 AM
W S Research Centre,-12750.0000,1/31/2012 12:00:00 AM
Wahedna Darcy (Pvt.) Ltd.,2.6403,6/30/2020 12:00:00 AM
Wings Media (Pvt.) Ltd.,14095700.4758,10/31/2022 12:00:00 AM
World Call,-0.3353,6/13/2017 1:48:30 PM
X Nine Communication (Pvt) Ltd,1.0253,6/30/2018 12:00:00 AM
X Nine Communication (Pvt) Ltd,1.0253,6/30/2018 12:00:00 AM
X2O Pvt. Ltd.,38734289.4784,10/31/2022 12:00:00 AM
Xander Communication Pvt Ltd.,14981095.8188,10/31/2022 12:00:00 AM
Xposure Advertising Marketing (Pvt.) Limited,7670949.9289,10/27/2022 12:57:20 PM
Z2C Pakistan (Pvt) Ltd,41054583.3779,10/31/2022 12:00:00 AM
Z2C Pakistan (Pvt) Ltd,41054583.3779,10/31/2022 12:00:00 AM
Zara International,-8.2220,7/2/2014 12:00:00 AM
Zenith Advertising Communication (Pvt.) Ltd.,7055100.9102,9/20/2022 12:00:00 AM
